Date;Valor;Ativo
31/08/2017;4,11;KLBN3SA
01/09/2017;4,1;KLBN3SA
04/09/2017;4,26;KLBN3SA
05/09/2017;4,19;KLBN3SA
06/09/2017;4,24;KLBN3SA
07/09/2017;4,24;KLBN3SA
08/09/2017;4,19;KLBN3SA
11/09/2017;4,38;KLBN3SA
12/09/2017;4,16;KLBN3SA
13/09/2017;4,17;KLBN3SA
14/09/2017;4,22;KLBN3SA
15/09/2017;4,24;KLBN3SA
18/09/2017;4,4;KLBN3SA
19/09/2017;4,49;KLBN3SA
20/09/2017;4,41;KLBN3SA
21/09/2017;4,6;KLBN3SA
22/09/2017;4,57;KLBN3SA
25/09/2017;4,56;KLBN3SA
26/09/2017;4,27;KLBN3SA
27/09/2017;4,39;KLBN3SA
28/09/2017;4,29;KLBN3SA
29/09/2017;4,36;KLBN3SA
02/10/2017;4,26;KLBN3SA
03/10/2017;4,52;KLBN3SA
04/10/2017;4,43;KLBN3SA
05/10/2017;4,46;KLBN3SA
06/10/2017;4,61;KLBN3SA
09/10/2017;4,48;KLBN3SA
10/10/2017;4,41;KLBN3SA
11/10/2017;4,57;KLBN3SA
12/10/2017;4,57;KLBN3SA
13/10/2017;4,47;KLBN3SA
16/10/2017;4,77;KLBN3SA
17/10/2017;4,73;KLBN3SA
18/10/2017;4,7;KLBN3SA
19/10/2017;4,65;KLBN3SA
20/10/2017;4,87;KLBN3SA
23/10/2017;4,51;KLBN3SA
24/10/2017;4,52;KLBN3SA
25/10/2017;4,63;KLBN3SA
26/10/2017;4,61;KLBN3SA
27/10/2017;4,58;KLBN3SA
30/10/2017;4,2;KLBN3SA
31/10/2017;4,41;KLBN3SA
01/11/2017;4,36;KLBN3SA
02/11/2017;4,36;KLBN3SA
03/11/2017;4,39;KLBN3SA
06/11/2017;4,39;KLBN3SA
07/11/2017;4,32;KLBN3SA
08/11/2017;4,32;KLBN3SA
09/11/2017;4,54;KLBN3SA
10/11/2017;4,34;KLBN3SA
13/11/2017;4,64;KLBN3SA
14/11/2017;4,38;KLBN3SA
15/11/2017;4,38;KLBN3SA
16/11/2017;4,47;KLBN3SA
17/11/2017;4,38;KLBN3SA
20/11/2017;4,38;KLBN3SA
21/11/2017;4,45;KLBN3SA
22/11/2017;4,45;KLBN3SA
23/11/2017;4,31;KLBN3SA
24/11/2017;4,29;KLBN3SA
27/11/2017;4,42;KLBN3SA
28/11/2017;4,4;KLBN3SA
29/11/2017;4,27;KLBN3SA
