Date,KLBN4.SA,SUZB3.SA,^BVSP
2017-01-03 00:00:00-02:00,0.02508942327548258,0.0,0.03733910621087788
2017-01-04 00:00:00-02:00,-0.01398593018726646,0.0,-0.0036399521144077074
2017-01-05 00:00:00-02:00,0.014184310970250857,0.0,0.007826072837681997
2017-01-06 00:00:00-02:00,-0.01398593018726646,0.0,-0.006540896715052091
2017-01-09 00:00:00-02:00,-0.014184310970250857,0.0,0.0005675829076461358
2017-01-10 00:00:00-02:00,0.02158254524453418,0.0,0.007001620745543002
2017-01-11 00:00:00-02:00,-0.02464771276392186,0.0,0.005053756518380137
2017-01-12 00:00:00-02:00,0.01805045821963014,0.0,0.024148864619030874
2017-01-13 00:00:00-02:00,-0.003545995626382803,0.0,-0.004722144041029441
2017-01-16 00:00:00-02:00,-0.010676173006656131,0.0,0.002812166153459472
2017-01-17 00:00:00-02:00,0.00719414472697788,0.0,0.008193510989957797
2017-01-18 00:00:00-02:00,0.007142868957532134,0.0,-0.003169966124871748
2017-01-19 00:00:00-02:00,0.007092100741005414,0.0,-0.0031021044427124167
2017-01-20 00:00:00-02:00,-0.007042157053746334,0.0,0.008913074072336657
2017-01-23 00:00:00-02:00,-0.003545995626382803,0.0,0.019032563041490258
2017-01-24 00:00:00-02:00,0.0035586144576857937,0.0,0.001384051468463321
2017-01-26 00:00:00-02:00,0.0,0.0,0.005331105710814077
2017-01-27 00:00:00-02:00,0.003546105114622611,0.0,-0.002371923675424159
2017-01-30 00:00:00-02:00,-0.010600724062052924,0.0,-0.02622891237847169
2017-01-31 00:00:00-02:00,0.0,0.0,0.005738546234953734
2017-02-01 00:00:00-02:00,-0.010714193165998198,0.0,0.0025513754232964203
2017-02-02 00:00:00-02:00,-0.010830453275062601,0.0,-0.003979270775495092
2017-02-03 00:00:00-02:00,0.003649641205382137,0.0,0.005822416302765587
2017-02-06 00:00:00-02:00,-0.018181511976678166,0.0,-0.014795085752994375
2017-02-07 00:00:00-02:00,-0.0005896110442519253,0.0,0.0032191020892911038
2017-02-08 00:00:00-02:00,0.007490738698099353,0.0,0.009906696365987067
2017-02-09 00:00:00-02:00,0.0,0.0,0.002005089843448715
2017-02-10 00:00:00-02:00,0.0,0.0,0.017855768490725676
2017-02-13 00:00:00-02:00,-0.003717635931529406,0.0,0.012748582230623917
2017-02-14 00:00:00-02:00,0.0037315083209421562,0.0,-0.0038077887946481592
2017-02-15 00:00:00-02:00,0.033456906246386975,0.0,0.018931842369553253
2017-02-16 00:00:00-02:00,-0.010791296542459694,0.0,-0.002383194068494743
2017-02-17 00:00:00-02:00,0.0,0.0,-0.000973250361282374
2017-02-20 00:00:00-03:00,-0.0036361915428968494,0.0,0.011587057920529054
2017-02-21 00:00:00-03:00,0.007299257865113429,0.0,0.007572994032072122
2017-02-22 00:00:00-03:00,-0.0072463647799995146,0.0,-0.0066906099750911885
2017-02-23 00:00:00-03:00,-0.01094894254698553,0.0,-0.0164601253827088
2017-02-24 00:00:00-03:00,0.018450210709133108,0.0,-0.011843880167800691
2017-03-01 00:00:00-03:00,-0.0108698238966769,0.0,0.004905343374036253
2017-03-02 00:00:00-03:00,-0.014651658434968295,0.0,-0.01692815238322709
2017-03-03 00:00:00-03:00,-0.007435044720886519,0.0,0.014137119429048717
2017-03-06 00:00:00-03:00,-0.007490738698099353,0.0,-0.006663073099152483
2017-03-07 00:00:00-03:00,-0.011321025311368582,0.0,-0.009029107188616381
2017-03-08 00:00:00-03:00,-0.0038164974837702204,0.0,-0.015576039670226027
2017-03-09 00:00:00-03:00,0.0,0.0,-0.0020550696869495733
2017-03-10 00:00:00-03:00,0.0038311189395632272,0.0,0.001393512425485799
2017-03-13 00:00:00-03:00,0.019084353106591623,0.0,0.013281793583301171
2017-03-14 00:00:00-03:00,-0.014981362974381462,0.0,-0.012741477706228799
2017-03-15 00:00:00-03:00,0.0038022173250868985,0.0,0.02374070696610464
2017-03-16 00:00:00-03:00,0.0,0.0,-0.0068241866082886515
2017-03-17 00:00:00-03:00,-0.0037878152284012145,0.0,-0.02391195293616888
2017-03-20 00:00:00-03:00,0.0,0.0,0.010496807350879989
2017-03-21 00:00:00-03:00,-0.02281365243677269,0.0,-0.029344676653720536
2017-03-22 00:00:00-03:00,-0.015564355668258756,0.0,0.00859002858050184
2017-03-23 00:00:00-03:00,-0.011857569574082572,0.0,0.00015742825207420985
2017-03-24 00:00:00-03:00,-0.004000176949233936,0.0,0.005084132155955379
2017-03-27 00:00:00-03:00,-0.008031871794330736,0.0,0.007109969618191547
2017-03-28 00:00:00-03:00,0.02833972443336319,0.0,0.0051626547241401255
2017-03-29 00:00:00-03:00,0.015748491772858086,0.0,0.013737623762376305
2017-03-30 00:00:00-03:00,0.015503374777975143,0.0,-0.003998290806983329
2017-03-31 00:00:00-03:00,0.02290108380132949,0.0,-0.004320779578953826
2017-04-03 00:00:00-03:00,-0.0074627886521291265,0.0,0.003493167548935139
2017-04-04 00:00:00-03:00,0.03759415853571979,0.0,0.00855683857017997
2017-04-05 00:00:00-03:00,-0.01811596729533438,0.0,-0.015113503322233934
2017-04-06 00:00:00-03:00,-0.01476012347413147,0.0,-0.008521806252412167
2017-04-07 00:00:00-03:00,0.007490738698099353,0.0,0.005761175902714077
2017-04-10 00:00:00-03:00,0.003717408789357224,0.0,0.0008824485625378298
2017-04-11 00:00:00-03:00,-0.011111148827930961,0.0,-0.004485692188708423
2017-04-12 00:00:00-03:00,0.018726389057978965,0.0,-0.007271597265382179
